cliente,dias_por_mes,desviacion_maxima
1000026.0,"{3: 31.0, 4: 30.0}",1.0
1000033.0,"{3: 31.0, 4: 30.0}",1.0
1000082.0,"{3: 31.0, 4: 30.0}",1.0
1000110.0,"{3: 31.0, 4: 30.0, 5: 11.0}",19.0
100015.0,"{3: 31.0, 4: 30.0}",1.0
1000187.0,"{3: 4.0, 4: 6.0, 5: 7.0}",2.0
100022.0,"{3: 31.0, 4: 30.0}",1.0
100036.0,"{3: 31.0, 4: 30.0, 5: 8.0}",22.0
1000425.0,"{3: 31.0, 4: 30.0}",1.0
1000460.0,"{3: 31.0, 4: 30.0}",1.0
1000495.0,"{3: 20.5, 4: 21.5, 5: 8.0}",13.5
1000565.0,"{3: 25.5, 4: 23.5}",2.0
1000782.0,"{3: 31.0, 4: 30.0}",1.0
1000831.0,"{3: 31.0, 4: 30.0, 5: 13.0}",17.0
100085.0,"{3: 20.0, 4: 20.0, 5: 18.0}",2.0
1000852.0,"{3: 31.0, 4: 30.0}",1.0
1001097.0,"{3: 31.0, 4: 30.0, 5: 4.0}",26.0
1001209.0,"{3: 31.0, 4: 30.0}",1.0
1001272.0,"{3: 31.0, 4: 30.0, 5: 7.0}",23.0
100134.0,"{3: 31.0, 4: 30.0}",1.0
100141.0,"{3: 25.5, 4: 23.5}",2.0
1001440.0,"{3: 31.0, 4: 30.0}",1.0
1001587.0,"{3: 31.0, 4: 30.0}",1.0
1001615.0,"{3: 31.0, 4: 30.0}",1.0
100162.0,"{3: 31.0, 4: 30.0, 5: 6.0}",24.0
1001657.0,"{3: 31.0, 4: 30.0}",1.0
1001811.0,"{3: 31.0, 4: 30.0}",1.0
1001860.0,"{3: 31.0, 4: 30.0}",1.0
100190.0,"{3: 31.0, 4: 30.0}",1.0
1001937.0,"{3: 31.0, 4: 30.0}",1.0
100211.0,"{3: 31.0, 4: 30.0}",1.0
100218.0,"{3: 31.0, 4: 30.0}",1.0
1002196.0,"{3: 31.0, 4: 30.0}",1.0
1002203.0,"{3: 31.0, 4: 30.0}",1.0
10023.0,"{3: 31.0, 4: 30.0}",1.0
1002378.0,"{3: 31.0, 4: 30.0}",1.0
100253.0,"{3: 31.0, 4: 30.0}",1.0
1002546.0,"{3: 31.0, 4: 30.0}",1.0
1002581.0,"{3: 31.0, 4: 30.0}",1.0
100267.0,"{3: 13.5, 4: 6.0, 5: 4.0}",7.5
1002749.0,"{3: 27.0, 4: 25.0}",2.0
1002770.0,"{3: 31.0, 4: 30.0}",1.0
1002826.0,"{3: 31.0, 4: 30.0}",1.0
1002959.0,"{3: 31.0, 4: 30.0}",1.0
1002980.0,"{3: 31.0, 4: 30.0}",1.0
1003008.0,"{4: 16.0, 5: 18.0}",2.0
1003050.0,"{3: 20.0, 4: 19.0, 5: 5.0}",14.0
1003120.0,"{3: 29.0, 4: 30.0, 5: 4.0}",26.0
1003141.0,"{3: 31.0, 4: 30.0}",1.0
100316.0,"{3: 21.0, 4: 17.0, 5: 18.0}",4.0
1003162.0,"{3: 31.0, 4: 30.0}",1.0
1003267.0,"{3: 31.0, 4: 30.0}",1.0
100330.0,"{3: 17.0, 4: 16.0, 5: 5.0}",11.0
1003491.0,"{3: 31.0, 4: 30.0}",1.0
1003603.0,"{3: 17.0, 4: 10.0, 5: 11.0}",7.0
100365.0,"{3: 31.0, 4: 30.0}",1.0
1003694.0,"{3: 31.0, 4: 30.0}",1.0
1003743.0,"{3: 31.0, 4: 30.0}",1.0
1003771.0,"{3: 31.0, 4: 30.0}",1.0
100379.0,"{3: 31.0, 4: 30.0}",1.0
1003918.0,"{3: 31.0, 4: 30.0}",1.0
1003925.0,"{3: 31.0, 4: 30.0}",1.0
1003960.0,"{3: 27.0, 4: 29.0, 5: 7.0}",22.0
1003974.0,"{3: 31.0, 4: 30.0}",1.0
1003988.0,"{3: 4.0, 4: 6.0, 5: 7.0}",2.0
100421.0,"{3: 31.0, 4: 30.0, 5: 18.0}",12.0
1004233.0,"{3: 31.0, 4: 30.0}",1.0
1004352.0,"{3: 30.5, 4: 29.5, 5: 4.0}",25.5
100463.0,"{3: 31.0, 4: 30.0, 5: 6.0}",24.0
1004667.0,"{3: 31.0, 4: 30.0, 5: 9.0}",21.0
100470.0,"{3: 31.0, 4: 30.0, 5: 15.5}",14.5
1004737.0,"{3: 31.0, 4: 30.0}",1.0
1004842.0,"{3: 23.0, 4: 25.0}",2.0
100498.0,"{3: 31.0, 4: 30.0}",1.0
1005066.0,"{3: 31.0, 4: 30.0}",1.0
1005136.0,"{3: 20.0, 4: 21.0}",1.0
1005178.0,"{3: 31.0, 4: 30.0}",1.0
100533.0,"{3: 31.0, 4: 30.0}",1.0
1005332.0,"{3: 31.0, 4: 30.0}",1.0
1005458.0,"{3: 31.0, 4: 30.0}",1.0
1005479.0,"{3: 31.0, 4: 30.0}",1.0
1005542.0,"{3: 23.0, 4: 22.0}",1.0
1005647.0,"{3: 31.0, 4: 30.0}",1.0
1005759.0,"{3: 31.0, 4: 30.0}",1.0
10058.0,"{3: 27.0, 4: 29.0, 5: 7.0}",22.0
1005822.0,"{3: 31.0, 4: 30.0}",1.0
1006130.0,"{3: 25.5, 4: 23.5}",2.0
1006158.0,"{3: 31.0, 4: 30.0}",1.0
100617.0,"{3: 31.0, 4: 30.0}",1.0
1006368.0,"{3: 31.0, 4: 30.0}",1.0
1006445.0,"{3: 31.0, 4: 30.0}",1.0
1006578.0,"{3: 31.0, 4: 29.0}",2.0
1006760.0,"{3: 31.0, 4: 30.0}",1.0
1006921.0,"{3: 27.0, 4: 26.0, 5: 7.0}",19.0
100708.0,"{3: 31.0, 4: 30.0}",1.0
1007096.0,"{3: 31.0, 4: 30.0}",1.0
1007124.0,"{3: 25.5, 4: 23.5}",2.0
1007131.0,"{3: 31.0, 4: 20.0, 5: 18.0}",11.0
1007271.0,"{3: 31.0, 4: 30.0}",1.0
1007320.0,"{3: 23.0, 4: 22.0, 5: 12.0}",10.0
1007334.0,"{3: 31.0, 4: 30.0}",1.0
100743.0,"{3: 31.0, 4: 30.0}",1.0
1007460.0,"{3: 31.0, 4: 30.0}",1.0
1007474.0,"{3: 4.0, 4: 6.0, 5: 7.0}",2.0
1007558.0,"{3: 3.0, 4: 2.0, 5: 4.0}",2.0
1007565.0,"{3: 3.0, 4: 2.0, 5: 4.0}",2.0
100771.0,"{3: 27.0, 4: 29.0, 5: 7.0}",22.0
1007817.0,"{3: 31.0, 4: 30.0, 5: 4.0}",26.0
1008027.0,"{3: 31.0, 4: 30.0}",1.0
1008055.0,"{3: 31.0, 4: 30.0}",1.0
1008076.0,"{3: 31.0, 4: 30.0}",1.0
1008195.0,"{3: 31.0, 4: 30.0}",1.0
1008307.0,"{3: 31.0, 4: 30.0, 5: 7.0}",23.0
1008510.0,"{3: 31.0, 4: 30.0}",1.0
1008713.0,"{3: 27.0, 4: 28.0, 5: 14.5}",13.5
1008741.0,"{3: 25.5, 4: 23.5}",2.0
1008797.0,"{3: 31.0, 4: 30.0}",1.0
100883.0,"{3: 31.0, 4: 30.0}",1.0
1009119.0,"{3: 27.0, 4: 28.0, 5: 7.0}",21.0
1009133.0,"{3: 31.0, 4: 30.0}",1.0
1009161.0,"{3: 25.5, 4: 23.5}",2.0
1009315.0,"{3: 31.0, 4: 30.0}",1.0
100932.0,"{3: 31.0, 4: 30.0}",1.0
1009336.0,"{3: 31.0, 4: 30.0}",1.0
1009392.0,"{3: 31.0, 4: 30.0}",1.0
1009434.0,"{3: 31.0, 4: 30.0}",1.0
1009546.0,"{3: 31.0, 4: 30.0}",1.0
1009693.0,"{3: 30.5, 4: 29.5}",1.0
100981.0,"{3: 31.0, 4: 30.0, 5: 12.0}",18.0
1009938.0,"{3: 31.0, 4: 30.0}",1.0
1009966.0,"{3: 31.0, 4: 30.0}",1.0
10100.0,"{3: 30.0, 4: 28.0, 5: 13.0}",15.0
1010113.0,"{3: 31.0, 4: 30.0}",1.0
1010148.0,"{3: 31.0, 4: 30.0, 5: 7.0}",23.0
1010274.0,"{3: 31.0, 4: 30.0}",1.0
1010281.0,"{3: 31.0, 4: 30.0}",1.0
101030.0,"{3: 31.0, 4: 30.0}",1.0
1010337.0,"{3: 2.0, 4: 2.0, 5: 4.0}",2.0
1010561.0,"{3: 6.5, 4: 7.5, 5: 9.0}",1.5
1010631.0,"{3: 31.0, 4: 30.0}",1.0
1010638.0,"{3: 31.0, 4: 30.0}",1.0
10107.0,"{3: 31.0, 4: 30.0, 5: 4.0}",26.0
1010708.0,"{3: 31.0, 4: 30.0}",1.0
1010722.0,"{3: 31.0, 4: 30.0, 5: 13.0}",17.0
1010827.0,"{3: 31.0, 4: 30.0}",1.0
1010834.0,"{3: 6.0, 4: 6.0, 5: 5.0}",1.0
101086.0,"{3: 31.0, 4: 30.0}",1.0
1010869.0,"{3: 25.5, 4: 23.5}",2.0
1010883.0,"{3: 31.0, 4: 30.0}",1.0
1011093.0,"{3: 31.0, 4: 30.0}",1.0
1011128.0,"{3: 31.0, 4: 30.0, 5: 7.0}",23.0
1011191.0,"{3: 31.0, 4: 30.0, 5: 7.0}",23.0
1011247.0,"{3: 31.0, 4: 30.0}",1.0
1011303.0,"{3: 31.0, 4: 30.0}",1.0
1011618.0,"{3: 31.0, 4: 30.0}",1.0
1011765.0,"{3: 20.0, 4: 21.0}",1.0
1011814.0,"{4: 6.0, 5: 7.0}",1.0
1011863.0,"{3: 31.0, 4: 30.0}",1.0
1011877.0,"{3: 31.0, 4: 30.0}",1.0
101191.0,"{3: 31.0, 4: 30.0}",1.0
101198.0,"{3: 31.0, 4: 30.0}",1.0
1012052.0,"{3: 31.0, 4: 30.0}",1.0
1012059.0,"{3: 17.5, 4: 18.5, 5: 11.0}",7.5
10121.0,"{3: 31.0, 4: 30.0}",1.0
1012108.0,"{3: 20.0, 4: 19.0, 5: 7.0}",12.0
1012143.0,"{3: 31.0, 4: 30.0}",1.0
1012276.0,"{3: 31.0, 4: 30.0}",1.0
1012353.0,"{3: 17.0, 4: 18.0, 5: 4.0}",14.0
1012367.0,"{3: 31.0, 4: 30.0}",1.0
101240.0,"{3: 31.0, 4: 30.0, 5: 14.0}",16.0
1012507.0,"{3: 31.0, 4: 30.0}",1.0
101254.0,"{3: 31.0, 4: 30.0}",1.0
1012703.0,"{3: 19.0, 4: 17.0}",2.0
1012710.0,"{3: 25.5, 4: 23.5}",2.0
1012787.0,"{3: 17.5, 4: 6.0, 5: 7.0}",11.5
1012864.0,"{3: 31.0, 4: 30.0}",1.0
1012878.0,"{3: 24.0, 4: 25.0}",1.0
1012934.0,"{3: 31.0, 4: 30.0}",1.0
1013039.0,"{3: 31.0, 4: 30.0, 5: 6.0}",24.0
1013151.0,"{3: 31.0, 4: 30.0}",1.0
1013221.0,"{3: 31.0, 4: 30.0, 5: 13.0}",17.0
1013438.0,"{3: 31.0, 4: 30.0}",1.0
101352.0,"{3: 31.0, 4: 30.0}",1.0
1013620.0,"{3: 31.0, 4: 30.0}",1.0
1013683.0,"{3: 16.0, 4: 17.0, 5: 11.0}",6.0
1013718.0,"{3: 25.5, 4: 23.5}",2.0
1013725.0,"{3: 31.0, 4: 30.0}",1.0
1013844.0,"{3: 31.0, 4: 30.0}",1.0
101387.0,"{3: 31.0, 4: 30.0}",1.0
1013970.0,"{3: 31.0, 4: 30.0}",1.0
1014103.0,"{3: 31.0, 4: 30.0}",1.0
1014173.0,"{3: 31.0, 4: 30.0}",1.0
1014390.0,"{3: 31.0, 4: 30.0}",1.0
101450.0,"{3: 31.0, 4: 29.0}",2.0
1014502.0,"{3: 31.0, 4: 30.0}",1.0
101457.0,"{3: 31.0, 4: 30.0}",1.0
1014670.0,"{3: 31.0, 4: 30.0}",1.0
1014761.0,"{3: 31.0, 4: 30.0}",1.0
1014768.0,"{3: 25.0, 4: 24.0}",1.0
101478.0,"{3: 17.5, 4: 15.5, 5: 5.0}",10.5
1014796.0,"{3: 31.0, 4: 30.0}",1.0
1014978.0,"{3: 31.0, 4: 30.0}",1.0
1015048.0,"{3: 31.0, 4: 30.0}",1.0
101506.0,"{3: 31.0, 4: 30.0}",1.0
101513.0,"{3: 31.0, 4: 30.0}",1.0
1015223.0,"{3: 27.0, 4: 26.0}",1.0
101541.0,"{3: 31.0, 4: 30.0}",1.0
101548.0,"{3: 31.0, 4: 30.0}",1.0
1015636.0,"{3: 10.0, 5: 12.0}",2.0
1015671.0,"{3: 31.0, 4: 30.0}",1.0
1015804.0,"{3: 31.0, 4: 30.0}",1.0
1015832.0,"{3: 31.0, 4: 30.0, 5: 7.0}",23.0
1015853.0,"{3: 27.0, 4: 29.0, 5: 7.0}",22.0
1015860.0,"{3: 31.0, 4: 30.0}",1.0
101590.0,"{3: 31.0, 4: 30.0}",1.0
1016245.0,"{3: 31.0, 4: 30.0, 5: 7.0}",23.0
1016280.0,"{3: 31.0, 4: 30.0}",1.0
101639.0,"{3: 31.0, 4: 30.0, 5: 6.0}",24.0
101674.0,"{3: 31.0, 4: 30.0, 5: 7.0}",23.0
1016749.0,"{3: 12.0, 4: 13.0, 5: 11.0}",2.0
1017057.0,"{3: 31.0, 4: 30.0}",1.0
101709.0,"{3: 25.5, 4: 23.5}",2.0
1017141.0,"{3: 31.0, 4: 30.0}",1.0
1017225.0,"{3: 31.0, 4: 30.0}",1.0
1017295.0,"{3: 31.0, 4: 30.0}",1.0
1017309.0,"{3: 31.0, 4: 30.0}",1.0
1017316.0,"{3: 17.0, 4: 18.0, 5: 4.0}",14.0
1017379.0,"{3: 31.0, 4: 30.0}",1.0
1017414.0,"{3: 31.0, 4: 30.0}",1.0
1017435.0,"{3: 27.0, 4: 29.0, 5: 7.0}",22.0
1017484.0,"{3: 31.0, 4: 30.0}",1.0
1017491.0,"{3: 29.0, 4: 27.0}",2.0
1017547.0,"{3: 31.0, 4: 30.0}",1.0
101765.0,"{3: 17.0, 4: 16.0, 5: 4.0}",12.0
1017750.0,"{3: 31.0, 4: 30.0}",1.0
1017785.0,"{3: 25.5, 4: 23.5, 5: 11.0}",12.5
1017855.0,"{3: 31.0, 4: 30.0}",1.0
1018100.0,"{3: 31.0, 4: 30.0, 5: 13.0}",17.0
101814.0,"{3: 31.0, 4: 30.0}",1.0
1018156.0,"{3: 31.0, 4: 30.0}",1.0
1018198.0,"{3: 31.0, 4: 30.0}",1.0
101821.0,"{3: 31.0, 4: 30.0}",1.0
1018268.0,"{3: 31.0, 4: 30.0}",1.0
1018338.0,"{3: 31.0, 4: 30.0}",1.0
1018394.0,"{3: 31.0, 4: 30.0}",1.0
10184.0,"{3: 31.0, 4: 30.0}",1.0
1018443.0,"{3: 27.0, 4: 25.0}",2.0
101849.0,"{3: 31.0, 4: 30.0}",1.0
1018534.0,"{3: 31.0, 4: 30.0}",1.0
1018653.0,"{3: 25.5, 4: 23.5}",2.0
1018702.0,"{3: 31.0, 4: 30.0}",1.0
1018730.0,"{3: 25.5, 4: 23.5}",2.0
1018744.0,"{3: 31.0, 4: 30.0}",1.0
1018800.0,"{3: 31.0, 4: 30.0}",1.0
1019115.0,"{3: 31.0, 4: 30.0}",1.0
1019248.0,"{3: 31.0, 4: 30.0}",1.0
1019262.0,"{3: 31.0, 4: 30.0}",1.0
1019332.0,"{3: 31.0, 4: 30.0}",1.0
1019395.0,"{3: 31.0, 4: 30.0}",1.0
1019444.0,"{3: 27.5, 4: 29.5, 5: 7.0}",22.5
1019458.0,"{3: 31.0, 4: 30.0}",1.0
1019598.0,"{3: 31.0, 4: 30.0}",1.0
1019724.0,"{3: 31.0, 4: 30.0}",1.0
1019773.0,"{3: 28.0, 4: 26.0}",2.0
1019815.0,"{3: 19.5, 4: 18.5, 5: 11.0}",7.5
101982.0,"{3: 31.0, 4: 30.0}",1.0
1019913.0,"{3: 31.0, 4: 30.0}",1.0
1020011.0,"{3: 31.0, 4: 30.0, 5: 4.0}",26.0
1020074.0,"{3: 31.0, 4: 30.0}",1.0
1020081.0,"{3: 31.0, 4: 30.0}",1.0
1020088.0,"{3: 31.0, 4: 30.0}",1.0
1020116.0,"{3: 31.0, 4: 30.0}",1.0
1020305.0,"{3: 25.5, 4: 23.5}",2.0
1020312.0,"{3: 28.0, 4: 27.0, 5: 11.0}",16.0
1020368.0,"{3: 31.0, 4: 30.0}",1.0
102045.0,"{3: 31.0, 4: 29.0}",2.0
1020515.0,"{3: 31.0, 4: 30.0}",1.0
1020760.0,"{3: 30.0, 4: 29.0}",1.0
1020767.0,"{3: 31.0, 4: 30.0}",1.0
1020816.0,"{3: 31.0, 4: 30.0}",1.0
1020865.0,"{3: 31.0, 4: 30.0}",1.0
1020872.0,"{3: 31.0, 4: 30.0}",1.0
1020949.0,"{3: 31.0, 4: 30.0}",1.0
1020970.0,"{3: 31.0, 4: 30.0}",1.0
1020998.0,"{3: 16.5, 4: 15.5, 5: 4.0}",11.5
1021040.0,"{3: 31.0, 4: 30.0}",1.0
1021089.0,"{3: 30.5, 4: 29.5, 5: 14.0}",15.5
1021124.0,"{3: 28.5, 4: 26.5}",2.0
10212.0,"{3: 31.0, 4: 30.0}",1.0
1021222.0,"{3: 31.0, 4: 30.0}",1.0
1021257.0,"{3: 31.0, 4: 30.0}",1.0
1021397.0,"{3: 31.0, 4: 30.0}",1.0
1021481.0,"{3: 31.0, 4: 30.0, 5: 12.0}",18.0
1021488.0,"{3: 18.0, 4: 16.0, 5: 5.0}",11.0
1021523.0,"{3: 31.0, 4: 30.0}",1.0
1021684.0,"{3: 31.0, 4: 30.0}",1.0
102171.0,"{3: 31.0, 4: 29.0}",2.0
1021789.0,"{3: 31.0, 4: 30.0}",1.0
1021978.0,"{3: 24.0, 4: 22.0}",2.0
102199.0,"{3: 31.0, 4: 30.0, 5: 1.0}",29.0
1022097.0,"{3: 31.0, 4: 30.0}",1.0
1022223.0,"{3: 31.0, 4: 30.0}",1.0
1022258.0,"{3: 31.0, 4: 30.0}",1.0
102227.0,"{3: 16.5, 4: 15.5, 5: 4.0}",11.5
1022279.0,"{3: 31.0, 4: 30.0}",1.0
1022300.0,"{3: 31.0, 4: 30.0}",1.0
1022398.0,"{3: 31.0, 4: 30.0, 5: 4.0}",26.0
1022545.0,"{3: 31.0, 4: 30.0}",1.0
1022636.0,"{3: 9.0, 4: 12.5, 5: 11.5}",3.5
1022650.0,"{3: 31.0, 4: 30.0}",1.0
1022923.0,"{3: 31.0, 4: 30.0}",1.0
1022993.0,"{3: 31.0, 4: 30.0}",1.0
1023007.0,"{3: 31.0, 4: 30.0}",1.0
1023056.0,"{3: 31.0, 4: 29.0}",2.0
1023266.0,"{3: 31.0, 4: 30.0}",1.0
1023329.0,"{3: 31.0, 4: 30.0, 5: 11.0}",19.0
102339.0,"{3: 23.5, 4: 21.5, 5: 14.0}",7.5
1023406.0,"{3: 31.0, 4: 30.0}",1.0
1023448.0,"{3: 31.0, 4: 30.0}",1.0
1023490.0,"{3: 31.0, 4: 30.0}",1.0
1023518.0,"{3: 31.0, 4: 30.0}",1.0
