cliente,dias_por_mes,desviacion_maxima
1148545.0,"{3: 31.0, 4: 1.0}",30.0
1156644.0,"{3: 31.0, 4: 1.0, 5: 4.0}",30.0
135652.0,"{3: 31.0, 4: 1.0, 5: 8.0}",30.0
1420642.0,"{3: 31.0, 4: 1.0}",30.0
1552998.0,"{3: 31.0, 4: 1.0}",30.0
1633785.0,"{3: 31.0, 4: 1.0}",30.0
1737259.0,"{3: 31.0, 4: 1.0}",30.0
1746891.0,"{3: 31.0, 5: 1.0}",30.0
1774373.0,"{3: 31.0, 4: 1.0}",30.0
1893912.0,"{3: 31.0, 4: 1.0, 5: 7.0}",30.0
1916641.0,"{3: 31.0, 4: 1.0, 5: 5.0}",30.0
2054576.0,"{3: 31.0, 4: 1.0, 5: 5.5}",30.0
2060127.0,"{3: 31.0, 4: 1.0, 5: 7.0}",30.0
2061086.0,"{3: 31.0, 4: 1.0, 5: 13.0}",30.0
2063396.0,"{3: 31.0, 4: 1.0}",30.0
2092740.0,"{3: 31.0, 4: 1.0}",30.0
2105165.0,"{3: 31.0, 4: 1.0, 5: 13.0}",30.0
2127089.0,"{3: 31.0, 4: 1.0, 5: 5.0}",30.0
2139157.0,"{3: 31.0, 4: 1.0, 5: 4.0}",30.0
2148656.0,"{3: 31.0, 4: 1.0, 5: 6.0}",30.0
298500.0,"{3: 31.0, 4: 1.0}",30.0
482950.0,"{3: 31.0, 4: 1.0, 5: 7.0}",30.0
543374.0,"{3: 31.0, 4: 1.0, 5: 4.0}",30.0
581867.0,"{3: 31.0, 4: 1.0, 5: 7.0}",30.0
646414.0,"{3: 31.0, 4: 1.0}",30.0
88899.0,"{3: 31.0, 4: 1.0}",30.0
1279053.0,"{3: 30.5, 4: 1.0}",29.5
102199.0,"{3: 31.0, 4: 30.0, 5: 1.0}",29.0
103032.0,"{3: 30.5, 4: 30.0, 5: 1.0}",29.0
1083256.0,"{3: 17.0, 4: 30.0, 5: 1.0}",29.0
1188578.0,"{3: 29.0, 4: 30.0, 5: 1.0}",29.0
1303133.0,"{3: 31.0, 4: 2.0, 5: 5.0}",29.0
1351265.0,"{3: 31.0, 4: 30.0, 5: 1.0}",29.0
1371040.0,"{3: 31.0, 4: 2.0, 5: 4.0}",29.0
137521.0,"{3: 26.0, 4: 30.0, 5: 1.0}",29.0
150303.0,"{3: 31.0, 4: 2.0, 5: 4.0}",29.0
158129.0,"{3: 31.0, 4: 2.0, 5: 6.0}",29.0
1609.0,"{3: 31.0, 4: 2.0}",29.0
1625252.0,"{3: 31.0, 4: 2.0}",29.0
